"date","date2","Overall UK ONS CPIH","Overall UK Micro CPI","London","South East","South West","East of England","East Midlands","West Midlands","Yorkshire and the Humber","North West","North East","Wales","Scotland","Northern Ireland"
200109,2001-09-01,1.7,0.547604074502139,0.594708666072141,0.671243420956613,0.417108773008223,0.162329426759866,0.936622727979719,0.699223566462548,0.242746191030285,0.666998204594171,0.252807179508685,0.454984544338988,0.270599916280312,0.443611854817894
200110,2001-10-01,1.6,0.448768476982586,0.348125394619103,0.444726206619084,0.54038108370329,0.291379559041127,0.730521794269468,0.747022629818228,0.24296412914635,0.525279193580763,0.363272219116628,0.481617751827801,0.169167332253939,0.0963683001548032
200111,2001-11-01,1.2,-0.0759077677113584,-0.0899123458439233,-0.0438159728112231,-0.0592111084737668,-0.223651128643165,0.378824312691273,0.120844178269053,-0.45746758619073,-0.130301336255001,-0.478936114426365,-0.182588068794975,-0.390245845649373,-0.311208432577847
200112,2001-12-01,1.4,0.0155242353903073,0.0864551788385404,-0.1268264691625,-0.0171074674364391,-0.186525619091482,0.414254006475367,-0.000947911563786707,-0.289363759559769,0.0994242797939693,-0.324655877775826,-0.177165918618971,-0.213103747701959,-0.178914335215208
200201,2002-01-01,1.8,0.754146808179912,0.560826885136745,0.609357092455287,0.938360653261028,0.919669200487272,1.32085166233817,0.913579100211459,0.487873899122171,0.70002919826786,0.691258824042773,0.521681996769163,0.136009420393157,0.165843564199908
200202,2002-02-01,1.7,0.379726442778949,0.150400071315571,0.565666321801372,0.555395344543763,0.712020093699417,1.051586430503,0.542123569017394,0.0379758020996324,0.0405529109392067,0.013270222104822,0.0623154897744449,-0.211997741791592,0.215803843931073
200203,2002-03-01,1.7,0.242883447334186,-0.00566623554909551,0.194794987832481,0.50669302910773,0.835202970989557,0.876759030205965,0.666386785368989,-0.298334987143978,-0.136716787366498,0.0797565638475994,-0.10786825036605,-0.0659633626001632,-0.042151473226959
200204,2002-04-01,1.6,0.265757523097498,0.000721937206016321,0.223527960982772,0.466963338559312,0.756740428131208,0.867031030684173,0.738459833724092,-0.329615010414019,0.0756215194683607,0.0134079362104522,-0.291959230541761,-0.0620296324222669,0.314092298578217
200205,2002-05-01,1.2,-0.0576062938062893,-0.253310189698153,-0.0912916420315657,0.215163978485799,0.32391589935552,0.437313898999969,0.362751793790306,-0.644501201137304,-0.267289397534443,-0.592684516851072,-0.329000127053769,-0.416710147881916,-0.028859297146222
200206,2002-06-01,1.1,-0.410168647050269,-0.707162400972439,-0.427631994216504,-0.115182722260188,0.00731340295967442,0.0193834799771864,-0.0104990737383015,-1.08521587825068,-0.459327420858557,-1.05771275262343,-0.843417221749976,-0.694216525717495,-0.181601604469905
200207,2002-07-01,1.4,0.226114155686052,-0.110912193665436,0.342691378556603,0.481274839468115,0.476556920856175,0.457402027185716,0.470501619439623,-0.0997487345417158,-0.00642466704574574,-0.183778459614348,-0.266592412559485,-0.272450088476384,0.0816540278908429
200208,2002-08-01,1.3,0.0597784088324671,-0.218010951728254,0.200660692105892,0.319987542663513,0.399199063603772,0.265102889188062,0.496688047200888,-0.488742495429639,-0.220556834366858,-0.342795613515101,-0.401411474031976,-0.703411512192142,-0.158495355660626
200209,2002-09-01,1.2,0.126562848570644,0.00696191394633505,-0.0175423187611212,0.428858355513517,0.46465545295673,0.31987092251462,0.461669506110973,-0.33382426175288,-0.13839453469926,-0.178264368249625,-0.251542270177452,-0.517917020080616,0.0782790172666914
200210,2002-10-01,1.5,0.19425245002429,0.0272040341921631,0.206376980619272,0.475642858527614,0.441701408030659,0.485328119732165,0.405239819206926,-0.274090179385544,-0.100475826839119,0.0270057304755156,-0.360786622376885,-0.337570921254204,0.103274474814441
200211,2002-11-01,1.6,0.505647814728016,0.236464661494096,0.567988878248848,0.700150134588395,0.756483001780439,0.654226452044715,0.686504169254976,0.146824593927009,0.389498057717996,0.301779152019432,-0.217774767455947,0.0626611799827925,0.413272184220181
200212,2002-12-01,1.7,0.400534664454244,0.105384004301601,0.471851419847691,0.655378488347558,0.700735873009894,0.572515093635606,0.727520365836787,0.118953249469711,0.124258733637128,0.294042249688986,-0.249377788807725,-0.154984849404805,0.245488539125516
200301,2003-01-01,1.4,0.49100521958283,0.210262116171434,0.710255822614148,0.772885566910886,0.804782504572032,0.494516166857895,0.646866690793346,0.148302961853974,0.25368390032019,0.290150200194161,-0.408017228541435,0.246127524204853,0.945948547565889
200302,2003-02-01,1.6,0.821783020424038,0.560914560597658,0.790350975406451,1.10068359027478,0.775268165376453,0.854733550986619,0.896237108616149,0.499254631616508,0.722152591014846,0.829151125483762,0.301915565197763,0.440974432845254,0.602050914937102
200303,2003-03-01,1.6,0.914930694207561,0.475731276446623,0.973804786089083,1.04902285799318,0.989362646502667,0.815775057798618,0.774429111575614,0.840519907793946,0.918061375841384,0.737351426751554,0.661875346379226,0.517785392678793,0.932427287380144
200304,2003-04-01,1.5,0.794602938146194,0.533658175004526,0.852636566353682,1.0065080150143,0.984108002914308,0.688416604352415,0.598319078419651,0.848557805337613,0.743822345595246,0.454274995162396,0.765475381138536,0.368198030303479,0.56778301167264
200305,2003-05-01,1.3,0.636916609129012,0.309053295387485,0.737176494495184,0.79025597337592,0.810005337521491,0.654729366460494,0.384183422310946,0.544536785336969,0.603444422357047,0.382502068281498,0.63685656916137,0.179485437992133,0.784632477388159
200306,2003-06-01,1.2,0.86564321829441,0.709400029306861,1.12429822959335,0.989846486266877,0.916891169067058,1.02629674775234,0.598899379439777,0.710493546728341,0.601141603914024,0.750693417730175,0.927561871098015,0.296653346294073,0.780045834272247
200307,2003-07-01,1.3,1.08297651642275,0.95097887430704,1.18353057259046,1.07465961874895,1.31687576761399,1.41257193622415,0.648774884359571,0.974350474612518,0.891786674137474,1.03288648471003,1.19509507584012,0.680766064377925,1.44333875116884
200308,2003-08-01,1.4,1.32333817914068,1.07143494705673,1.42150648903714,1.44784558071691,1.53409998074547,1.67665228078748,0.959054776700619,1.34344227682466,1.52490105668317,1.12475608103151,1.58766873656451,1.1536399390438,1.41883679373356
200309,2003-09-01,1.3,1.16978372378151,0.9532470234483,1.4779929086832,1.2925389568758,1.37554201223962,1.51996398678593,0.948403876257387,1.18862506415927,1.15292887662213,0.7611715373262,1.48539383153352,0.844731512998287,1.26612210242072
200310,2003-10-01,1.3,1.29664996714796,1.10736347605018,1.42930696206798,1.43293273677458,1.55102926792128,1.7191715740779,0.983509809906336,1.38828336964074,1.17577381101392,0.925657124280854,1.69495905468615,1.01372597507969,1.38016696251768
200311,2003-11-01,1.3,1.31218219244942,1.10256605451562,1.42531579535938,1.536006119974,1.50824420572933,1.5515855317445,1.13003096600282,1.30144157103411,1.21865307792681,0.94050075572456,1.77773992613377,1.12088264451773,1.4041811444605
200312,2003-12-01,1.3,1.38062743886749,1.15902276139375,1.46971064193437,1.56296457091978,1.44084687749391,1.70626044078079,1.09180203341064,1.32984898785755,1.45492731787553,1.09485646938725,1.82244354602106,1.24552448540254,1.34038388063644
200401,2004-01-01,1.5,1.41561522477194,1.06690197289594,1.26899690638083,1.52281971391208,1.5109713765102,1.93648141370739,0.812635770569026,1.48817418625931,1.40173395684438,0.954763404319459,2.26805994372734,1.55431241379071,1.44961341587915
200402,2004-02-01,1.4,1.05116502252174,0.900016967744266,1.04982343796052,1.27145611980077,1.28000163662267,1.47723526870516,0.597595881757806,1.03665133581901,0.952201760837301,0.370585899043552,1.6058409379079,1.15546139465486,1.02596348295403
200403,2004-03-01,1.2,0.883538064352951,0.779313591644826,0.783820927905343,1.11519883556666,0.966140188050613,1.26779654322786,0.525702706647757,0.897111898564407,0.883897335746453,0.380553847625542,1.15309756818052,0.899194940437864,0.638235004801979
200404,2004-04-01,1.1,1.06080119433587,0.796576700432583,0.767217396715481,1.16767581560295,1.12994248143989,1.56003000677827,0.659500912674993,1.10035134774109,0.991794128590473,0.542165448279897,1.26251286103385,1.17474043226089,1.31217641082351
200405,2004-05-01,1.4,1.2389356455013,1.0023219506516,1.0738906852177,1.29545272043132,1.26366897226431,1.63536147294445,0.906782875008849,1.47582354738625,1.18136725676963,0.840885353510745,1.07335221419318,1.39872917128501,1.20178352294229
200406,2004-06-01,1.5,1.19620188438356,0.824733533149291,0.942281814844503,1.44220630742526,1.15732827218444,1.49135053827436,1.00531878970556,1.50169055605338,1.25924538306303,0.66649846944129,1.1717620122538,1.36921997398565,1.2069825220435
